scenario,fault,include_subsumption,duration_ms
happy_00_m2a2p1,happy,False,1276.5
happy_01_m2a3p2,happy,False,1073.8
happy_02_m3a2p2,happy,False,1078.3
happy_03_m3a3p3,happy,False,1071.0
happy_04_m3a4p4,happy,False,1058.9
happy_05_m4a2p3,happy,False,1059.2
happy_06_m4a3p4,happy,False,1057.0
happy_07_m4a4p6,happy,False,1175.6
happy_08_m5a2p4,happy,False,1070.0
happy_09_m5a3p6,happy,False,1124.2
happy_10_m5a4p8,happy,False,1117.2
happy_11_m6a2p5,happy,False,1120.5
happy_12_m6a3p6,happy,False,1182.0
happy_13_m2a4p2,happy,False,1049.0
happy_14_m3a5p5,happy,False,1083.9
sv1_00,sv1_disjointness,False,976.2
sv1_01,sv1_disjointness,False,1037.4
sv1_02,sv1_disjointness,False,997.1
sv1_03,sv1_disjointness,False,989.6
sv1_04,sv1_disjointness,False,977.8
sv1_05,sv1_disjointness,False,980.5
sv1_06,sv1_disjointness,False,1051.7
sv1_07,sv1_disjointness,False,1004.1
sv1_08,sv1_disjointness,False,963.8
sv1_09,sv1_disjointness,False,1097.6
sv2_00_len2,sv2_cycle,False,1074.8
sv2_01_len2,sv2_cycle,False,1257.5
sv2_02_len3,sv2_cycle,False,1098.6
sv2_03_len2,sv2_cycle,False,1126.0
sv2_04_len3,sv2_cycle,False,1159.2
sv2_05_len4,sv2_cycle,False,1282.5
sv2_06_len2,sv2_cycle,False,1092.8
sv2_07_len3,sv2_cycle,False,1092.4
sv2_08_len4,sv2_cycle,False,1105.2
sv2_09_len3,sv2_cycle,False,1065.7
sv3_thr_00_t101,sv3_atomic_threshold,False,1081.4
sv3_thr_01_t110,sv3_atomic_threshold,False,1100.2
sv3_thr_02_t125,sv3_atomic_threshold,False,1101.5
sv3_thr_03_t150,sv3_atomic_threshold,False,1056.8
sv3_thr_04_t175,sv3_atomic_threshold,False,1088.8
sv3_thr_05_t200,sv3_atomic_threshold,False,1085.7
sv3_thr_06_t0,sv3_atomic_threshold,False,1095.9
sv3_thr_07_t-10,sv3_atomic_threshold,False,1078.6
sv3_thr_08_t-50,sv3_atomic_threshold,False,1102.5
sv3_thr_09_t999,sv3_atomic_threshold,False,1096.5
sv3_date_00,sv3_empty_date,False,1085.2
sv3_date_01,sv3_empty_date,False,1074.6
sv3_date_02,sv3_empty_date,False,1072.8
sv3_date_03,sv3_empty_date,False,1142.0
sv3_date_04,sv3_empty_date,False,1059.4
sv3_date_05,sv3_empty_date,False,1086.9
sv3_date_06,sv3_empty_date,False,1153.4
sv3_date_07,sv3_empty_date,False,1119.9
sv3_struct_00_len3,sv3_structural,False,1086.1
sv3_struct_01_len3,sv3_structural,False,1098.3
sv3_struct_02_len3,sv3_structural,False,1107.8
sv3_struct_03_len4,sv3_structural,False,1128.3
sv3_struct_04_len4,sv3_structural,False,1219.4
sv3_struct_05_len5,sv3_structural,False,1095.6
sv3_struct_06_len5,sv3_structural,False,1111.1
sv3_struct_07_len6,sv3_structural,False,1073.1
sv3_struct_08_len3,sv3_structural,False,1087.7
sv3_struct_09_len4,sv3_structural,False,1078.3
sv4_00_s80w60,sv4_redundant,True,1115.9
sv4_01_s90w70,sv4_redundant,True,1108.2
sv4_02_s85w50,sv4_redundant,True,1098.4
sv4_03_s95w75,sv4_redundant,True,1123.0
sv4_04_s70w40,sv4_redundant,True,1103.2
sv4_05_s100w80,sv4_redundant,True,1090.0
sv4_06_s75w25,sv4_redundant,True,1064.8
sv4_07_s60w30,sv4_redundant,True,1099.3
sv4_08_s85w65,sv4_redundant,True,1083.5
sv4_09_s95w55,sv4_redundant,True,1078.6
sv5_00_t70,sv5_subject,True,1089.5
sv5_01_t75,sv5_subject,True,1092.7
sv5_02_t60,sv5_subject,True,1116.9
sv5_03_t80,sv5_subject,True,1125.7
sv5_04_t50,sv5_subject,True,1108.3
sv5_05_t85,sv5_subject,True,1161.9
sv5_06_t65,sv5_subject,True,1112.8
sv5_07_t90,sv5_subject,True,1124.0
sv5_08_t55,sv5_subject,True,1068.7
sv5_09_t40,sv5_subject,True,1103.9
